Year,Sulphur oxides (percentage change from 1990 level),Nitrogen oxides (percentage change from 1990 level),Volatile organic compounds (percentage change from 1990 level),Ammonia (percentage change from 1990 level),Carbon monoxide (percentage change from 1990 level),Fine particulate matter (percentage change from 1990 level)
1990,0,0,0,0,0,0
1991,-7,-4,-2,-1,-2,-2
1992,-11,-2,-2,2,-3,-5
1993,-14,0,1,3,0,-5
1994,-21,5,2,6,0,-3
1995,-16,8,2,13,-2,-7
1996,-16,11,1,17,-5,-7
1997,-18,17,-1,19,-8,-6
1998,-19,19,-1,19,-8,-13
1999,-22,22,-4,18,-10,-13
2000,-22,21,-6,20,-12,-14
2001,-22,15,-14,20,-19,-17
2002,-24,13,-14,23,-21,-19
2003,-26,11,-17,22,-23,-21
2004,-26,6,-18,25,-28,-23
2005,-30,2,-23,24,-36,-24
2006,-36,-4,-26,21,-40,-24
2007,-38,-4,-28,22,-41,-21
2008,-44,-7,-29,20,-43,-18
2009,-52,-13,-34,16,-46,-25
2010,-56,-12,-33,14,-46,-20
2011,-59,-14,-38,13,-50,-19
2012,-59,-18,-37,17,-51,-14
2013,-59,-20,-36,21,-52,-15
2014,-61,-22,-36,19,-53,-14
2015,-65,-25,-38,19,-54,-15
2016,-66,-27,-40,19,-54,-15
2017,-69,-26,-40,19,-54,-15
,,,,,,
Note: This indicator reports air pollutant emissions from human activities only. It does not include emissions from natural sources such as forest fires and from vegetation. ,,,,,,
Source: Environment and Climate Change Canada (2019) Air Pollutant Emissions Inventory (https://www.canada.ca/en/environment-climate-change/services/pollutants/air-emissions-inventory-overview.html). ,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,
